GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BHI001
GIS Join match code,Datafile year,State Name,State Code,County Name,County Code,Census Tract Prefix Code,Census Tract Code,Census Tract Suffix Code,Area name,Total
G17003100207,1930,Illinois,17,Cook,031,"",0207,"",Tract    0207     in Chicago IL,5891
G17003100208,1930,Illinois,17,Cook,031,"",0208,"",Tract    0208     in Chicago IL,4239
G17003100209,1930,Illinois,17,Cook,031,"",0209,"",Tract    0209     in Chicago IL,5256
G17003100210,1930,Illinois,17,Cook,031,"",0210,"",Tract    0210     in Chicago IL,1965
G17003100211,1930,Illinois,17,Cook,031,"",0211,"",Tract    0211     in Chicago IL,15
G17003100212,1930,Illinois,17,Cook,031,"",0212,"",Tract    0212     in Chicago IL,6281
G17003100213,1930,Illinois,17,Cook,031,"",0213,"",Tract    0213     in Chicago IL,6540
G17003100214,1930,Illinois,17,Cook,031,"",0214,"",Tract    0214     in Chicago IL,5723
G17003100215,1930,Illinois,17,Cook,031,"",0215,"",Tract    0215     in Chicago IL,1718
G17003100216,1930,Illinois,17,Cook,031,"",0216,"",Tract    0216     in Chicago IL,683
G17003100217,1930,Illinois,17,Cook,031,"",0217,"",Tract    0217     in Chicago IL,7854
G17003100218,1930,Illinois,17,Cook,031,"",0218,"",Tract    0218     in Chicago IL,3816
G17003100219,1930,Illinois,17,Cook,031,"",0219,"",Tract    0219     in Chicago IL,6979
G17003100220,1930,Illinois,17,Cook,031,"",0220,"",Tract    0220     in Chicago IL,2283
G17003100221,1930,Illinois,17,Cook,031,"",0221,"",Tract    0221     in Chicago IL,3521
G17003100222,1930,Illinois,17,Cook,031,"",0222,"",Tract    0222     in Chicago IL,5053
G17003100223,1930,Illinois,17,Cook,031,"",0223,"",Tract    0223     in Chicago IL,2002
G17003100224,1930,Illinois,17,Cook,031,"",0224,"",Tract    0224     in Chicago IL,7802
G17003100225,1930,Illinois,17,Cook,031,"",0225,"",Tract    0225     in Chicago IL,4338
G17003100226,1930,Illinois,17,Cook,031,"",0226,"",Tract    0226     in Chicago IL,802
G17003100227,1930,Illinois,17,Cook,031,"",0227,"",Tract    0227     in Chicago IL,4440
G17003100228,1930,Illinois,17,Cook,031,"",0228,"",Tract    0228     in Chicago IL,7978
G17003100229,1930,Illinois,17,Cook,031,"",0229,"",Tract    0229     in Chicago IL,2001
G17003100230,1930,Illinois,17,Cook,031,"",0230,"",Tract    0230     in Chicago IL,2731
G17003100231,1930,Illinois,17,Cook,031,"",0231,"",Tract    0231     in Chicago IL,9540
G17003100232,1930,Illinois,17,Cook,031,"",0232,"",Tract    0232     in Chicago IL,9314
G17003100233,1930,Illinois,17,Cook,031,"",0233,"",Tract    0233     in Chicago IL,6256
G17003100234,1930,Illinois,17,Cook,031,"",0234,"",Tract    0234     in Chicago IL,1969
G17003100235,1930,Illinois,17,Cook,031,"",0235,"",Tract    0235     in Chicago IL,4204
G17003100236,1930,Illinois,17,Cook,031,"",0236,"",Tract    0236     in Chicago IL,122
G17003100237,1930,Illinois,17,Cook,031,"",0237,"",Tract    0237     in Chicago IL,9149
G17003100238,1930,Illinois,17,Cook,031,"",0238,"",Tract    0238     in Chicago IL,9999
G17003100239,1930,Illinois,17,Cook,031,"",0239,"",Tract    0239     in Chicago IL,4029
G17003100240,1930,Illinois,17,Cook,031,"",0240,"",Tract    0240     in Chicago IL,4327
G17003100241,1930,Illinois,17,Cook,031,"",0241,"",Tract    0241     in Chicago IL,3826
G17003100242,1930,Illinois,17,Cook,031,"",0242,"",Tract    0242     in Chicago IL,3280
G17003100243,1930,Illinois,17,Cook,031,"",0243,"",Tract    0243     in Chicago IL,1499
G17003100244,1930,Illinois,17,Cook,031,"",0244,"",Tract    0244     in Chicago IL,4148
G17003100245,1930,Illinois,17,Cook,031,"",0245,"",Tract    0245     in Chicago IL,4354
G17003100246,1930,Illinois,17,Cook,031,"",0246,"",Tract    0246     in Chicago IL,4518
G17003100247,1930,Illinois,17,Cook,031,"",0247,"",Tract    0247     in Chicago IL,6690
G17003100248,1930,Illinois,17,Cook,031,"",0248,"",Tract    0248     in Chicago IL,6238
G17003100249,1930,Illinois,17,Cook,031,"",0249,"",Tract    0249     in Chicago IL,7409
G17003100250,1930,Illinois,17,Cook,031,"",0250,"",Tract    0250     in Chicago IL,3866
G17003100251,1930,Illinois,17,Cook,031,"",0251,"",Tract    0251     in Chicago IL,1348
G17003100252,1930,Illinois,17,Cook,031,"",0252,"",Tract    0252     in Chicago IL,1353
G17003100253,1930,Illinois,17,Cook,031,"",0253,"",Tract    0253     in Chicago IL,6520
G17003100254,1930,Illinois,17,Cook,031,"",0254,"",Tract    0254     in Chicago IL,4258
G17003100255,1930,Illinois,17,Cook,031,"",0255,"",Tract    0255     in Chicago IL,2785
G17003100256,1930,Illinois,17,Cook,031,"",0256,"",Tract    0256     in Chicago IL,2697
G17003100257,1930,Illinois,17,Cook,031,"",0257,"",Tract    0257     in Chicago IL,2587
G17003100258,1930,Illinois,17,Cook,031,"",0258,"",Tract    0258     in Chicago IL,2790
G17003100259,1930,Illinois,17,Cook,031,"",0259,"",Tract    0259     in Chicago IL,1791
G17003100260,1930,Illinois,17,Cook,031,"",0260,"",Tract    0260     in Chicago IL,3642
G17003100261,1930,Illinois,17,Cook,031,"",0261,"",Tract    0261     in Chicago IL,4798
G17003100262,1930,Illinois,17,Cook,031,"",0262,"",Tract    0262     in Chicago IL,1440
G17003100263,1930,Illinois,17,Cook,031,"",0263,"",Tract    0263     in Chicago IL,2788
G17003100264,1930,Illinois,17,Cook,031,"",0264,"",Tract    0264     in Chicago IL,1923
G17003100265,1930,Illinois,17,Cook,031,"",0265,"",Tract    0265     in Chicago IL,3768
G17003100266,1930,Illinois,17,Cook,031,"",0266,"",Tract    0266     in Chicago IL,2746
G17003100267,1930,Illinois,17,Cook,031,"",0267,"",Tract    0267     in Chicago IL,1303
G17003100268,1930,Illinois,17,Cook,031,"",0268,"",Tract    0268     in Chicago IL,6994
G17003100269,1930,Illinois,17,Cook,031,"",0269,"",Tract    0269     in Chicago IL,1593
G17003100270,1930,Illinois,17,Cook,031,"",0270,"",Tract    0270     in Chicago IL,9430
G17003100271,1930,Illinois,17,Cook,031,"",0271,"",Tract    0271     in Chicago IL,1674
G17003100272,1930,Illinois,17,Cook,031,"",0272,"",Tract    0272     in Chicago IL,2933
G17003100273,1930,Illinois,17,Cook,031,"",0273,"",Tract    0273     in Chicago IL,2566
G17003100274,1930,Illinois,17,Cook,031,"",0274,"",Tract    0274     in Chicago IL,8467
G17003100275,1930,Illinois,17,Cook,031,"",0275,"",Tract    0275     in Chicago IL,4892
G17003100276,1930,Illinois,17,Cook,031,"",0276,"",Tract    0276     in Chicago IL,610
G17003100277,1930,Illinois,17,Cook,031,"",0277,"",Tract    0277     in Chicago IL,8033
G17003100278,1930,Illinois,17,Cook,031,"",0278,"",Tract    0278     in Chicago IL,8251
G17003100279,1930,Illinois,17,Cook,031,"",0279,"",Tract    0279     in Chicago IL,116
G17003100280,1930,Illinois,17,Cook,031,"",0280,"",Tract    0280     in Chicago IL,12723
G17003100281,1930,Illinois,17,Cook,031,"",0281,"",Tract    0281     in Chicago IL,3151
G17003100282,1930,Illinois,17,Cook,031,"",0282,"",Tract    0282     in Chicago IL,1585
G17003100283,1930,Illinois,17,Cook,031,"",0283,"",Tract    0283     in Chicago IL,2736
G17003100284,1930,Illinois,17,Cook,031,"",0284,"",Tract    0284     in Chicago IL,2378
G17003100285,1930,Illinois,17,Cook,031,"",0285,"",Tract    0285     in Chicago IL,4143
G17003100286,1930,Illinois,17,Cook,031,"",0286,"",Tract    0286     in Chicago IL,4880
